startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2022-03-29T00:00:00.000Z;2022-03-29T01:00:00.000Z;1709;3646;0.468732858
2022-03-29T01:00:00.000Z;2022-03-29T02:00:00.000Z;1574;3646;0.431705979
2022-03-29T02:00:00.000Z;2022-03-29T03:00:00.000Z;1625;3646;0.445693911
2022-03-29T03:00:00.000Z;2022-03-29T04:00:00.000Z;1748;3646;0.479429512
2022-03-29T04:00:00.000Z;2022-03-29T05:00:00.000Z;1794;3646;0.492046078
2022-03-29T05:00:00.000Z;2022-03-29T06:00:00.000Z;1625;3646;0.445693911
2022-03-29T06:00:00.000Z;2022-03-29T07:00:00.000Z;1049;3646;0.287712562
2022-03-29T07:00:00.000Z;2022-03-29T08:00:00.000Z;777;3646;0.213110258
2022-03-29T08:00:00.000Z;2022-03-29T09:00:00.000Z;762;3646;0.20899616
2022-03-29T09:00:00.000Z;2022-03-29T10:00:00.000Z;834;3646;0.228743829
2022-03-29T10:00:00.000Z;2022-03-29T11:00:00.000Z;989;3646;0.271256171
2022-03-29T11:00:00.000Z;2022-03-29T12:00:00.000Z;1122;3646;0.307734504
2022-03-29T12:00:00.000Z;2022-03-29T13:00:00.000Z;1335;3646;0.36615469
2022-03-29T13:00:00.000Z;2022-03-29T14:00:00.000Z;1613;3646;0.442402633
2022-03-29T14:00:00.000Z;2022-03-29T15:00:00.000Z;1614;3646;0.442676906
2022-03-29T15:00:00.000Z;2022-03-29T16:00:00.000Z;1623;3646;0.445145365
2022-03-29T16:00:00.000Z;2022-03-29T17:00:00.000Z;1582;3646;0.433900165
2022-03-29T17:00:00.000Z;2022-03-29T18:00:00.000Z;1680;3646;0.460778936
2022-03-29T18:00:00.000Z;2022-03-29T19:00:00.000Z;1828;3646;0.501371366
2022-03-29T19:00:00.000Z;2022-03-29T20:00:00.000Z;1944;3646;0.533187054
2022-03-29T20:00:00.000Z;2022-03-29T21:00:00.000Z;2031;3646;0.557048821
2022-03-29T21:00:00.000Z;2022-03-29T22:00:00.000Z;2055;3646;0.563631377
2022-03-29T22:00:00.000Z;2022-03-29T23:00:00.000Z;1962;3646;0.538123971
2022-03-29T23:00:00.000Z;2022-03-30T00:00:00.000Z;1872;3646;0.513439386
