startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2016-03-29T00:00:00.000Z;2016-03-29T01:00:00.000Z;576;912;0.631578947
2016-03-29T01:00:00.000Z;2016-03-29T02:00:00.000Z;586;912;0.64254386
2016-03-29T02:00:00.000Z;2016-03-29T03:00:00.000Z;558;912;0.611842105
2016-03-29T03:00:00.000Z;2016-03-29T04:00:00.000Z;536;912;0.587719298
2016-03-29T04:00:00.000Z;2016-03-29T05:00:00.000Z;539;912;0.591008772
2016-03-29T05:00:00.000Z;2016-03-29T06:00:00.000Z;552;912;0.605263158
2016-03-29T06:00:00.000Z;2016-03-29T07:00:00.000Z;506;912;0.554824561
2016-03-29T07:00:00.000Z;2016-03-29T08:00:00.000Z;449;912;0.492324561
2016-03-29T08:00:00.000Z;2016-03-29T09:00:00.000Z;398;912;0.436403509
2016-03-29T09:00:00.000Z;2016-03-29T10:00:00.000Z;415;912;0.45504386
2016-03-29T10:00:00.000Z;2016-03-29T11:00:00.000Z;465;912;0.509868421
2016-03-29T11:00:00.000Z;2016-03-29T12:00:00.000Z;525;912;0.575657895
2016-03-29T12:00:00.000Z;2016-03-29T13:00:00.000Z;538;912;0.589912281
2016-03-29T13:00:00.000Z;2016-03-29T14:00:00.000Z;514;912;0.563596491
2016-03-29T14:00:00.000Z;2016-03-29T15:00:00.000Z;509;912;0.558114035
2016-03-29T15:00:00.000Z;2016-03-29T16:00:00.000Z;489;912;0.536184211
2016-03-29T16:00:00.000Z;2016-03-29T17:00:00.000Z;506;912;0.554824561
2016-03-29T17:00:00.000Z;2016-03-29T18:00:00.000Z;620;912;0.679824561
2016-03-29T18:00:00.000Z;2016-03-29T19:00:00.000Z;681;912;0.746710526
2016-03-29T19:00:00.000Z;2016-03-29T20:00:00.000Z;681;912;0.746710526
2016-03-29T20:00:00.000Z;2016-03-29T21:00:00.000Z;651;912;0.713815789
2016-03-29T21:00:00.000Z;2016-03-29T22:00:00.000Z;628;912;0.688596491
2016-03-29T22:00:00.000Z;2016-03-29T23:00:00.000Z;574;912;0.629385965
2016-03-29T23:00:00.000Z;2016-03-30T00:00:00.000Z;491;912;0.538377193
