startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2020-03-29T00:00:00.000Z;2020-03-29T01:00:00.000Z;1219;2150;0.566976744
2020-03-29T01:00:00.000Z;2020-03-29T02:00:00.000Z;1142;2150;0.531162791
2020-03-29T02:00:00.000Z;2020-03-29T03:00:00.000Z;1141;2150;0.530697674
2020-03-29T03:00:00.000Z;2020-03-29T04:00:00.000Z;1077;2150;0.500930233
2020-03-29T04:00:00.000Z;2020-03-29T05:00:00.000Z;1010;2150;0.469767442
2020-03-29T05:00:00.000Z;2020-03-29T06:00:00.000Z;757;2150;0.352093023
2020-03-29T06:00:00.000Z;2020-03-29T07:00:00.000Z;541;2150;0.251627907
2020-03-29T07:00:00.000Z;2020-03-29T08:00:00.000Z;480;2150;0.223255814
2020-03-29T08:00:00.000Z;2020-03-29T09:00:00.000Z;425;2150;0.197674419
2020-03-29T09:00:00.000Z;2020-03-29T10:00:00.000Z;460;2150;0.213953488
2020-03-29T10:00:00.000Z;2020-03-29T11:00:00.000Z;521;2150;0.242325581
2020-03-29T11:00:00.000Z;2020-03-29T12:00:00.000Z;618;2150;0.28744186
2020-03-29T12:00:00.000Z;2020-03-29T13:00:00.000Z;700;2150;0.325581395
2020-03-29T13:00:00.000Z;2020-03-29T14:00:00.000Z;674;2150;0.313488372
2020-03-29T14:00:00.000Z;2020-03-29T15:00:00.000Z;561;2150;0.260930233
2020-03-29T15:00:00.000Z;2020-03-29T16:00:00.000Z;455;2150;0.211627907
2020-03-29T16:00:00.000Z;2020-03-29T17:00:00.000Z;340;2150;0.158139535
2020-03-29T17:00:00.000Z;2020-03-29T18:00:00.000Z;324;2150;0.150697674
2020-03-29T18:00:00.000Z;2020-03-29T19:00:00.000Z;287;2150;0.133488372
2020-03-29T19:00:00.000Z;2020-03-29T20:00:00.000Z;260;2150;0.120930233
2020-03-29T20:00:00.000Z;2020-03-29T21:00:00.000Z;294;2150;0.136744186
2020-03-29T21:00:00.000Z;2020-03-29T22:00:00.000Z;389;2150;0.180930233
2020-03-29T22:00:00.000Z;2020-03-29T23:00:00.000Z;467;2150;0.217209302
2020-03-29T23:00:00.000Z;2020-03-30T00:00:00.000Z;491;2150;0.228372093
