startTime;endTime;value
2024-03-29T0000;2024-03-29T0100;6911.29004
2024-03-29T0100;2024-03-29T0200;8102.92994
2024-03-29T0200;2024-03-29T0300;9342.33008
2024-03-29T0300;2024-03-29T0400;10688.33959
2024-03-29T0400;2024-03-29T0500;10954.85986
2024-03-29T0500;2024-03-29T0600;10902.60986
2024-03-29T0600;2024-03-29T0700;10159.440190000001
2024-03-29T0700;2024-03-29T0800;9356.26001
2024-03-29T0800;2024-03-29T0900;8678.42993
2024-03-29T0900;2024-03-29T1000;8216.08997
2024-03-29T1000;2024-03-29T1100;8363.44007
2024-03-29T1100;2024-03-29T1200;8795.93994
2024-03-29T1200;2024-03-29T1300;9392.7998
2024-03-29T1300;2024-03-29T1400;9969.81006
2024-03-29T1400;2024-03-29T1500;10740.94995
2024-03-29T1500;2024-03-29T1600;11719.58008
2024-03-29T1600;2024-03-29T1700;13137.23999
2024-03-29T1700;2024-03-29T1800;13483.33984
2024-03-29T1800;2024-03-29T1900;13218.3501
2024-03-29T1900;2024-03-29T2000;13151.51001
2024-03-29T2000;2024-03-29T2100;13139.3501
2024-03-29T2100;2024-03-29T2200;13583.77002
2024-03-29T2200;2024-03-29T2300;14053.57007
2024-03-29T2300;2024-03-30T0000;13802.3003
