"startTime";"endTime";"Wind power generation - 15 min data"
"2018-03-29T00:00:00.000Z";"2018-03-29T01:00:00.000Z";694
"2018-03-29T01:00:00.000Z";"2018-03-29T02:00:00.000Z";755
"2018-03-29T02:00:00.000Z";"2018-03-29T03:00:00.000Z";746
"2018-03-29T03:00:00.000Z";"2018-03-29T04:00:00.000Z";774
"2018-03-29T04:00:00.000Z";"2018-03-29T05:00:00.000Z";798
"2018-03-29T05:00:00.000Z";"2018-03-29T06:00:00.000Z";737
"2018-03-29T06:00:00.000Z";"2018-03-29T07:00:00.000Z";643
"2018-03-29T07:00:00.000Z";"2018-03-29T08:00:00.000Z";534
"2018-03-29T08:00:00.000Z";"2018-03-29T09:00:00.000Z";481
"2018-03-29T09:00:00.000Z";"2018-03-29T10:00:00.000Z";535
"2018-03-29T10:00:00.000Z";"2018-03-29T11:00:00.000Z";595
"2018-03-29T11:00:00.000Z";"2018-03-29T12:00:00.000Z";693
"2018-03-29T12:00:00.000Z";"2018-03-29T13:00:00.000Z";764
"2018-03-29T13:00:00.000Z";"2018-03-29T14:00:00.000Z";761
"2018-03-29T14:00:00.000Z";"2018-03-29T15:00:00.000Z";759
"2018-03-29T15:00:00.000Z";"2018-03-29T16:00:00.000Z";730
"2018-03-29T16:00:00.000Z";"2018-03-29T17:00:00.000Z";715
"2018-03-29T17:00:00.000Z";"2018-03-29T18:00:00.000Z";726
"2018-03-29T18:00:00.000Z";"2018-03-29T19:00:00.000Z";780
"2018-03-29T19:00:00.000Z";"2018-03-29T20:00:00.000Z";789
"2018-03-29T20:00:00.000Z";"2018-03-29T21:00:00.000Z";726
"2018-03-29T21:00:00.000Z";"2018-03-29T22:00:00.000Z";694
"2018-03-29T22:00:00.000Z";"2018-03-29T23:00:00.000Z";723
"2018-03-29T23:00:00.000Z";"2018-03-30T00:00:00.000Z";615
