"startTime";"endTime";"Wind power generation - 15 min data"
"2019-03-29T00:00:00.000Z";"2019-03-29T01:00:00.000Z";1682
"2019-03-29T01:00:00.000Z";"2019-03-29T02:00:00.000Z";1687
"2019-03-29T02:00:00.000Z";"2019-03-29T03:00:00.000Z";1698
"2019-03-29T03:00:00.000Z";"2019-03-29T04:00:00.000Z";1627
"2019-03-29T04:00:00.000Z";"2019-03-29T05:00:00.000Z";1591
"2019-03-29T05:00:00.000Z";"2019-03-29T06:00:00.000Z";1611
"2019-03-29T06:00:00.000Z";"2019-03-29T07:00:00.000Z";1571
"2019-03-29T07:00:00.000Z";"2019-03-29T08:00:00.000Z";1512
"2019-03-29T08:00:00.000Z";"2019-03-29T09:00:00.000Z";1522
"2019-03-29T09:00:00.000Z";"2019-03-29T10:00:00.000Z";1549
"2019-03-29T10:00:00.000Z";"2019-03-29T11:00:00.000Z";1498
"2019-03-29T11:00:00.000Z";"2019-03-29T12:00:00.000Z";1534
"2019-03-29T12:00:00.000Z";"2019-03-29T13:00:00.000Z";1598
"2019-03-29T13:00:00.000Z";"2019-03-29T14:00:00.000Z";1624
"2019-03-29T14:00:00.000Z";"2019-03-29T15:00:00.000Z";1545
"2019-03-29T15:00:00.000Z";"2019-03-29T16:00:00.000Z";1423
"2019-03-29T16:00:00.000Z";"2019-03-29T17:00:00.000Z";1344
"2019-03-29T17:00:00.000Z";"2019-03-29T18:00:00.000Z";1367
"2019-03-29T18:00:00.000Z";"2019-03-29T19:00:00.000Z";1375
"2019-03-29T19:00:00.000Z";"2019-03-29T20:00:00.000Z";1378
"2019-03-29T20:00:00.000Z";"2019-03-29T21:00:00.000Z";1376
"2019-03-29T21:00:00.000Z";"2019-03-29T22:00:00.000Z";1288
"2019-03-29T22:00:00.000Z";"2019-03-29T23:00:00.000Z";1291
"2019-03-29T23:00:00.000Z";"2019-03-30T00:00:00.000Z";1310
