"startTime";"endTime";"Wind power generation - 15 min data"
"2023-03-29T00:00:00.000Z";"2023-03-29T01:00:00.000Z";1067
"2023-03-29T01:00:00.000Z";"2023-03-29T02:00:00.000Z";898
"2023-03-29T02:00:00.000Z";"2023-03-29T03:00:00.000Z";854
"2023-03-29T03:00:00.000Z";"2023-03-29T04:00:00.000Z";864
"2023-03-29T04:00:00.000Z";"2023-03-29T05:00:00.000Z";894
"2023-03-29T05:00:00.000Z";"2023-03-29T06:00:00.000Z";764
"2023-03-29T06:00:00.000Z";"2023-03-29T07:00:00.000Z";553
"2023-03-29T07:00:00.000Z";"2023-03-29T08:00:00.000Z";421
"2023-03-29T08:00:00.000Z";"2023-03-29T09:00:00.000Z";442
"2023-03-29T09:00:00.000Z";"2023-03-29T10:00:00.000Z";514
"2023-03-29T10:00:00.000Z";"2023-03-29T11:00:00.000Z";616
"2023-03-29T11:00:00.000Z";"2023-03-29T12:00:00.000Z";747
"2023-03-29T12:00:00.000Z";"2023-03-29T13:00:00.000Z";874
"2023-03-29T13:00:00.000Z";"2023-03-29T14:00:00.000Z";839
"2023-03-29T14:00:00.000Z";"2023-03-29T15:00:00.000Z";799
"2023-03-29T15:00:00.000Z";"2023-03-29T16:00:00.000Z";708
"2023-03-29T16:00:00.000Z";"2023-03-29T17:00:00.000Z";676
"2023-03-29T17:00:00.000Z";"2023-03-29T18:00:00.000Z";831
"2023-03-29T18:00:00.000Z";"2023-03-29T19:00:00.000Z";990
"2023-03-29T19:00:00.000Z";"2023-03-29T20:00:00.000Z";1180
"2023-03-29T20:00:00.000Z";"2023-03-29T21:00:00.000Z";1475
"2023-03-29T21:00:00.000Z";"2023-03-29T22:00:00.000Z";1428
"2023-03-29T22:00:00.000Z";"2023-03-29T23:00:00.000Z";1211
"2023-03-29T23:00:00.000Z";"2023-03-30T00:00:00.000Z";1016
