"startTime";"endTime";"Wind power generation - 15 min data"
"2020-03-29T00:00:00.000Z";"2020-03-29T01:00:00.000Z";1219
"2020-03-29T01:00:00.000Z";"2020-03-29T02:00:00.000Z";1142
"2020-03-29T02:00:00.000Z";"2020-03-29T03:00:00.000Z";1141
"2020-03-29T03:00:00.000Z";"2020-03-29T04:00:00.000Z";1077
"2020-03-29T04:00:00.000Z";"2020-03-29T05:00:00.000Z";1010
"2020-03-29T05:00:00.000Z";"2020-03-29T06:00:00.000Z";757
"2020-03-29T06:00:00.000Z";"2020-03-29T07:00:00.000Z";541
"2020-03-29T07:00:00.000Z";"2020-03-29T08:00:00.000Z";480
"2020-03-29T08:00:00.000Z";"2020-03-29T09:00:00.000Z";425
"2020-03-29T09:00:00.000Z";"2020-03-29T10:00:00.000Z";460
"2020-03-29T10:00:00.000Z";"2020-03-29T11:00:00.000Z";521
"2020-03-29T11:00:00.000Z";"2020-03-29T12:00:00.000Z";618
"2020-03-29T12:00:00.000Z";"2020-03-29T13:00:00.000Z";700
"2020-03-29T13:00:00.000Z";"2020-03-29T14:00:00.000Z";674
"2020-03-29T14:00:00.000Z";"2020-03-29T15:00:00.000Z";561
"2020-03-29T15:00:00.000Z";"2020-03-29T16:00:00.000Z";455
"2020-03-29T16:00:00.000Z";"2020-03-29T17:00:00.000Z";340
"2020-03-29T17:00:00.000Z";"2020-03-29T18:00:00.000Z";324
"2020-03-29T18:00:00.000Z";"2020-03-29T19:00:00.000Z";287
"2020-03-29T19:00:00.000Z";"2020-03-29T20:00:00.000Z";260
"2020-03-29T20:00:00.000Z";"2020-03-29T21:00:00.000Z";294
"2020-03-29T21:00:00.000Z";"2020-03-29T22:00:00.000Z";389
"2020-03-29T22:00:00.000Z";"2020-03-29T23:00:00.000Z";467
"2020-03-29T23:00:00.000Z";"2020-03-30T00:00:00.000Z";491
