"startTime";"endTime";"Wind power generation - 15 min data"
"2016-03-29T00:00:00.000Z";"2016-03-29T01:00:00.000Z";576
"2016-03-29T01:00:00.000Z";"2016-03-29T02:00:00.000Z";586
"2016-03-29T02:00:00.000Z";"2016-03-29T03:00:00.000Z";558
"2016-03-29T03:00:00.000Z";"2016-03-29T04:00:00.000Z";536
"2016-03-29T04:00:00.000Z";"2016-03-29T05:00:00.000Z";539
"2016-03-29T05:00:00.000Z";"2016-03-29T06:00:00.000Z";552
"2016-03-29T06:00:00.000Z";"2016-03-29T07:00:00.000Z";506
"2016-03-29T07:00:00.000Z";"2016-03-29T08:00:00.000Z";449
"2016-03-29T08:00:00.000Z";"2016-03-29T09:00:00.000Z";398
"2016-03-29T09:00:00.000Z";"2016-03-29T10:00:00.000Z";415
"2016-03-29T10:00:00.000Z";"2016-03-29T11:00:00.000Z";465
"2016-03-29T11:00:00.000Z";"2016-03-29T12:00:00.000Z";525
"2016-03-29T12:00:00.000Z";"2016-03-29T13:00:00.000Z";538
"2016-03-29T13:00:00.000Z";"2016-03-29T14:00:00.000Z";514
"2016-03-29T14:00:00.000Z";"2016-03-29T15:00:00.000Z";509
"2016-03-29T15:00:00.000Z";"2016-03-29T16:00:00.000Z";489
"2016-03-29T16:00:00.000Z";"2016-03-29T17:00:00.000Z";506
"2016-03-29T17:00:00.000Z";"2016-03-29T18:00:00.000Z";620
"2016-03-29T18:00:00.000Z";"2016-03-29T19:00:00.000Z";681
"2016-03-29T19:00:00.000Z";"2016-03-29T20:00:00.000Z";681
"2016-03-29T20:00:00.000Z";"2016-03-29T21:00:00.000Z";651
"2016-03-29T21:00:00.000Z";"2016-03-29T22:00:00.000Z";628
"2016-03-29T22:00:00.000Z";"2016-03-29T23:00:00.000Z";574
"2016-03-29T23:00:00.000Z";"2016-03-30T00:00:00.000Z";491
