"startTime";"endTime";"Wind power generation - 15 min data"
"2017-03-29T00:00:00.000Z";"2017-03-29T01:00:00.000Z";502
"2017-03-29T01:00:00.000Z";"2017-03-29T02:00:00.000Z";425
"2017-03-29T02:00:00.000Z";"2017-03-29T03:00:00.000Z";359
"2017-03-29T03:00:00.000Z";"2017-03-29T04:00:00.000Z";300
"2017-03-29T04:00:00.000Z";"2017-03-29T05:00:00.000Z";273
"2017-03-29T05:00:00.000Z";"2017-03-29T06:00:00.000Z";232
"2017-03-29T06:00:00.000Z";"2017-03-29T07:00:00.000Z";117
"2017-03-29T07:00:00.000Z";"2017-03-29T08:00:00.000Z";64
"2017-03-29T08:00:00.000Z";"2017-03-29T09:00:00.000Z";75
"2017-03-29T09:00:00.000Z";"2017-03-29T10:00:00.000Z";88
"2017-03-29T10:00:00.000Z";"2017-03-29T11:00:00.000Z";106
"2017-03-29T11:00:00.000Z";"2017-03-29T12:00:00.000Z";144
"2017-03-29T12:00:00.000Z";"2017-03-29T13:00:00.000Z";195
"2017-03-29T13:00:00.000Z";"2017-03-29T14:00:00.000Z";245
"2017-03-29T14:00:00.000Z";"2017-03-29T15:00:00.000Z";241
"2017-03-29T15:00:00.000Z";"2017-03-29T16:00:00.000Z";215
"2017-03-29T16:00:00.000Z";"2017-03-29T17:00:00.000Z";221
"2017-03-29T17:00:00.000Z";"2017-03-29T18:00:00.000Z";215
"2017-03-29T18:00:00.000Z";"2017-03-29T19:00:00.000Z";307
"2017-03-29T19:00:00.000Z";"2017-03-29T20:00:00.000Z";416
"2017-03-29T20:00:00.000Z";"2017-03-29T21:00:00.000Z";432
"2017-03-29T21:00:00.000Z";"2017-03-29T22:00:00.000Z";384
"2017-03-29T22:00:00.000Z";"2017-03-29T23:00:00.000Z";394
"2017-03-29T23:00:00.000Z";"2017-03-30T00:00:00.000Z";359
