"startTime";"endTime";"Wind power generation - 15 min data"
"2015-03-29T00:00:00.000Z";"2015-03-29T01:00:00.000Z";93
"2015-03-29T01:00:00.000Z";"2015-03-29T02:00:00.000Z";99
"2015-03-29T02:00:00.000Z";"2015-03-29T03:00:00.000Z";144
"2015-03-29T03:00:00.000Z";"2015-03-29T04:00:00.000Z";148
"2015-03-29T04:00:00.000Z";"2015-03-29T05:00:00.000Z";166
"2015-03-29T05:00:00.000Z";"2015-03-29T06:00:00.000Z";189
"2015-03-29T06:00:00.000Z";"2015-03-29T07:00:00.000Z";224
"2015-03-29T07:00:00.000Z";"2015-03-29T08:00:00.000Z";238
"2015-03-29T08:00:00.000Z";"2015-03-29T09:00:00.000Z";270
"2015-03-29T09:00:00.000Z";"2015-03-29T10:00:00.000Z";294
"2015-03-29T10:00:00.000Z";"2015-03-29T11:00:00.000Z";298
"2015-03-29T11:00:00.000Z";"2015-03-29T12:00:00.000Z";328
"2015-03-29T12:00:00.000Z";"2015-03-29T13:00:00.000Z";356
"2015-03-29T13:00:00.000Z";"2015-03-29T14:00:00.000Z";383
"2015-03-29T14:00:00.000Z";"2015-03-29T15:00:00.000Z";378
"2015-03-29T15:00:00.000Z";"2015-03-29T16:00:00.000Z";379
"2015-03-29T16:00:00.000Z";"2015-03-29T17:00:00.000Z";396
"2015-03-29T17:00:00.000Z";"2015-03-29T18:00:00.000Z";438
"2015-03-29T18:00:00.000Z";"2015-03-29T19:00:00.000Z";460
"2015-03-29T19:00:00.000Z";"2015-03-29T20:00:00.000Z";467
"2015-03-29T20:00:00.000Z";"2015-03-29T21:00:00.000Z";458
"2015-03-29T21:00:00.000Z";"2015-03-29T22:00:00.000Z";454
"2015-03-29T22:00:00.000Z";"2015-03-29T23:00:00.000Z";331
"2015-03-29T23:00:00.000Z";"2015-03-30T00:00:00.000Z";407
