"startTime";"endTime";"Wind power generation - 15 min data"
"2022-03-29T00:00:00.000Z";"2022-03-29T01:00:00.000Z";1709
"2022-03-29T01:00:00.000Z";"2022-03-29T02:00:00.000Z";1574
"2022-03-29T02:00:00.000Z";"2022-03-29T03:00:00.000Z";1625
"2022-03-29T03:00:00.000Z";"2022-03-29T04:00:00.000Z";1748
"2022-03-29T04:00:00.000Z";"2022-03-29T05:00:00.000Z";1794
"2022-03-29T05:00:00.000Z";"2022-03-29T06:00:00.000Z";1625
"2022-03-29T06:00:00.000Z";"2022-03-29T07:00:00.000Z";1049
"2022-03-29T07:00:00.000Z";"2022-03-29T08:00:00.000Z";777
"2022-03-29T08:00:00.000Z";"2022-03-29T09:00:00.000Z";762
"2022-03-29T09:00:00.000Z";"2022-03-29T10:00:00.000Z";834
"2022-03-29T10:00:00.000Z";"2022-03-29T11:00:00.000Z";989
"2022-03-29T11:00:00.000Z";"2022-03-29T12:00:00.000Z";1122
"2022-03-29T12:00:00.000Z";"2022-03-29T13:00:00.000Z";1335
"2022-03-29T13:00:00.000Z";"2022-03-29T14:00:00.000Z";1613
"2022-03-29T14:00:00.000Z";"2022-03-29T15:00:00.000Z";1614
"2022-03-29T15:00:00.000Z";"2022-03-29T16:00:00.000Z";1623
"2022-03-29T16:00:00.000Z";"2022-03-29T17:00:00.000Z";1582
"2022-03-29T17:00:00.000Z";"2022-03-29T18:00:00.000Z";1680
"2022-03-29T18:00:00.000Z";"2022-03-29T19:00:00.000Z";1828
"2022-03-29T19:00:00.000Z";"2022-03-29T20:00:00.000Z";1944
"2022-03-29T20:00:00.000Z";"2022-03-29T21:00:00.000Z";2031
"2022-03-29T21:00:00.000Z";"2022-03-29T22:00:00.000Z";2055
"2022-03-29T22:00:00.000Z";"2022-03-29T23:00:00.000Z";1962
"2022-03-29T23:00:00.000Z";"2022-03-30T00:00:00.000Z";1872
