startTime;endTime;value;Total production capacity used in the wind power forecast;Rate of production
2025-03-30T0000;2025-03-30T0100;3801.8075;8508.8;0.446808892
2025-03-30T0100;2025-03-30T0200;3548.4825;8508.8;0.417036774
2025-03-30T0200;2025-03-30T0300;3162.935;8508.8;0.371725155
2025-03-30T0300;2025-03-30T0400;2842.37;8508.8;0.33405063
2025-03-30T0400;2025-03-30T0500;2605.5475;8508.8;0.306217974
2025-03-30T0500;2025-03-30T0600;1964.2225;8508.8;0.230846006
2025-03-30T0600;2025-03-30T0700;910.3675;8508.8;0.106991291
2025-03-30T0700;2025-03-30T0800;534.3525;8508.8;0.062799984
2025-03-30T0800;2025-03-30T0900;542.96;8508.8;0.063811583
2025-03-30T0900;2025-03-30T1000;458.675;8508.8;0.053905956
2025-03-30T1000;2025-03-30T1100;315.655;8508.8;0.037097476
2025-03-30T1100;2025-03-30T1200;214.8675;8508.8;0.025252386
2025-03-30T1200;2025-03-30T1300;152.235;8508.8;0.017891477
2025-03-30T1300;2025-03-30T1400;81.41;8508.8;0.009567742
2025-03-30T1400;2025-03-30T1500;54.36;8508.8;0.00638868
2025-03-30T1500;2025-03-30T1600;67.6375;8508.8;0.007949123
2025-03-30T1600;2025-03-30T1700;128.47;8508.8;0.015098486
2025-03-30T1700;2025-03-30T1800;297.95;8508.8;0.035016689
2025-03-30T1800;2025-03-30T1900;615.84;8508.8;0.072376833
2025-03-30T1900;2025-03-30T2000;926.18;8508.8;0.108849662
2025-03-30T2000;2025-03-30T2100;1041.0775;8508.8;0.122353035
2025-03-30T2100;2025-03-30T2200;983.555;8508.8;0.115592681
2025-03-30T2200;2025-03-30T2300;782.7425;8508.8;0.091992114
2025-03-30T2300;2025-03-31T0000;533.45;8508.8;0.062693917
