startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2016-03-30T00:00:00.000Z;2016-03-30T01:00:00.000Z;428;912;0.469298246
2016-03-30T01:00:00.000Z;2016-03-30T02:00:00.000Z;368;912;0.403508772
2016-03-30T02:00:00.000Z;2016-03-30T03:00:00.000Z;321;912;0.351973684
2016-03-30T03:00:00.000Z;2016-03-30T04:00:00.000Z;292;912;0.320175439
2016-03-30T04:00:00.000Z;2016-03-30T05:00:00.000Z;262;912;0.287280702
2016-03-30T05:00:00.000Z;2016-03-30T06:00:00.000Z;228;912;0.25
2016-03-30T06:00:00.000Z;2016-03-30T07:00:00.000Z;176;912;0.192982456
2016-03-30T07:00:00.000Z;2016-03-30T08:00:00.000Z;137;912;0.150219298
2016-03-30T08:00:00.000Z;2016-03-30T09:00:00.000Z;119;912;0.130482456
2016-03-30T09:00:00.000Z;2016-03-30T10:00:00.000Z;95;912;0.104166667
2016-03-30T10:00:00.000Z;2016-03-30T11:00:00.000Z;90;912;0.098684211
2016-03-30T11:00:00.000Z;2016-03-30T12:00:00.000Z;97;912;0.106359649
2016-03-30T12:00:00.000Z;2016-03-30T13:00:00.000Z;95;912;0.104166667
2016-03-30T13:00:00.000Z;2016-03-30T14:00:00.000Z;99;912;0.108552632
2016-03-30T14:00:00.000Z;2016-03-30T15:00:00.000Z;95;912;0.104166667
2016-03-30T15:00:00.000Z;2016-03-30T16:00:00.000Z;98;912;0.10745614
2016-03-30T16:00:00.000Z;2016-03-30T17:00:00.000Z;98;912;0.10745614
2016-03-30T17:00:00.000Z;2016-03-30T18:00:00.000Z;105;912;0.115131579
2016-03-30T18:00:00.000Z;2016-03-30T19:00:00.000Z;97;912;0.106359649
2016-03-30T19:00:00.000Z;2016-03-30T20:00:00.000Z;92;912;0.100877193
2016-03-30T20:00:00.000Z;2016-03-30T21:00:00.000Z;94;912;0.103070175
2016-03-30T21:00:00.000Z;2016-03-30T22:00:00.000Z;85;912;0.093201754
2016-03-30T22:00:00.000Z;2016-03-30T23:00:00.000Z;69;912;0.075657895
2016-03-30T23:00:00.000Z;2016-03-31T00:00:00.000Z;60;912;0.065789474
