startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2021-03-30T00:00:00.000Z;2021-03-30T01:00:00.000Z;1920;2442;0.786240786
2021-03-30T01:00:00.000Z;2021-03-30T02:00:00.000Z;1969;2442;0.806306306
2021-03-30T02:00:00.000Z;2021-03-30T03:00:00.000Z;1987;2442;0.813677314
2021-03-30T03:00:00.000Z;2021-03-30T04:00:00.000Z;1926;2442;0.788697789
2021-03-30T04:00:00.000Z;2021-03-30T05:00:00.000Z;1777;2442;0.727682228
2021-03-30T05:00:00.000Z;2021-03-30T06:00:00.000Z;1759;2442;0.72031122
2021-03-30T06:00:00.000Z;2021-03-30T07:00:00.000Z;1785;2442;0.730958231
2021-03-30T07:00:00.000Z;2021-03-30T08:00:00.000Z;1741;2442;0.712940213
2021-03-30T08:00:00.000Z;2021-03-30T09:00:00.000Z;1645;2442;0.673628174
2021-03-30T09:00:00.000Z;2021-03-30T10:00:00.000Z;1654;2442;0.677313677
2021-03-30T10:00:00.000Z;2021-03-30T11:00:00.000Z;1750;2442;0.716625717
2021-03-30T11:00:00.000Z;2021-03-30T12:00:00.000Z;1874;2442;0.767403767
2021-03-30T12:00:00.000Z;2021-03-30T13:00:00.000Z;1998;2442;0.818181818
2021-03-30T13:00:00.000Z;2021-03-30T14:00:00.000Z;2067;2442;0.846437346
2021-03-30T14:00:00.000Z;2021-03-30T15:00:00.000Z;2014;2442;0.824733825
2021-03-30T15:00:00.000Z;2021-03-30T16:00:00.000Z;1874;2442;0.767403767
2021-03-30T16:00:00.000Z;2021-03-30T17:00:00.000Z;1711;2442;0.700655201
2021-03-30T17:00:00.000Z;2021-03-30T18:00:00.000Z;1762;2442;0.721539722
2021-03-30T18:00:00.000Z;2021-03-30T19:00:00.000Z;1906;2442;0.780507781
2021-03-30T19:00:00.000Z;2021-03-30T20:00:00.000Z;1887;2442;0.772727273
2021-03-30T20:00:00.000Z;2021-03-30T21:00:00.000Z;1847;2442;0.756347256
2021-03-30T21:00:00.000Z;2021-03-30T22:00:00.000Z;1783;2442;0.73013923
2021-03-30T22:00:00.000Z;2021-03-30T23:00:00.000Z;1684;2442;0.68959869
2021-03-30T23:00:00.000Z;2021-03-31T00:00:00.000Z;1717;2442;0.703112203
