startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2022-03-30T00:00:00.000Z;2022-03-30T01:00:00.000Z;1770;3646;0.485463522
2022-03-30T01:00:00.000Z;2022-03-30T02:00:00.000Z;1719;3646;0.47147559
2022-03-30T02:00:00.000Z;2022-03-30T03:00:00.000Z;1707;3646;0.468184312
2022-03-30T03:00:00.000Z;2022-03-30T04:00:00.000Z;1628;3646;0.446516731
2022-03-30T04:00:00.000Z;2022-03-30T05:00:00.000Z;1576;3646;0.432254526
2022-03-30T05:00:00.000Z;2022-03-30T06:00:00.000Z;1334;3646;0.365880417
2022-03-30T06:00:00.000Z;2022-03-30T07:00:00.000Z;1054;3646;0.289083928
2022-03-30T07:00:00.000Z;2022-03-30T08:00:00.000Z;975;3646;0.267416347
2022-03-30T08:00:00.000Z;2022-03-30T09:00:00.000Z;1048;3646;0.287438289
2022-03-30T09:00:00.000Z;2022-03-30T10:00:00.000Z;1176;3646;0.322545255
2022-03-30T10:00:00.000Z;2022-03-30T11:00:00.000Z;1282;3646;0.351618212
2022-03-30T11:00:00.000Z;2022-03-30T12:00:00.000Z;1399;3646;0.383708173
2022-03-30T12:00:00.000Z;2022-03-30T13:00:00.000Z;1480;3646;0.405924301
2022-03-30T13:00:00.000Z;2022-03-30T14:00:00.000Z;1385;3646;0.379868349
2022-03-30T14:00:00.000Z;2022-03-30T15:00:00.000Z;1252;3646;0.343390016
2022-03-30T15:00:00.000Z;2022-03-30T16:00:00.000Z;1025;3646;0.281130005
2022-03-30T16:00:00.000Z;2022-03-30T17:00:00.000Z;863;3646;0.236697751
2022-03-30T17:00:00.000Z;2022-03-30T18:00:00.000Z;932;3646;0.2556226
2022-03-30T18:00:00.000Z;2022-03-30T19:00:00.000Z;1208;3646;0.331321997
2022-03-30T19:00:00.000Z;2022-03-30T20:00:00.000Z;1423;3646;0.39029073
2022-03-30T20:00:00.000Z;2022-03-30T21:00:00.000Z;1444;3646;0.396050466
2022-03-30T21:00:00.000Z;2022-03-30T22:00:00.000Z;1428;3646;0.391662095
2022-03-30T22:00:00.000Z;2022-03-30T23:00:00.000Z;1324;3646;0.363137685
2022-03-30T23:00:00.000Z;2022-03-31T00:00:00.000Z;1271;3646;0.348601207
