Battery Capacity (MWh),Charging Rate (MW),Discharging Rate (MW),Charge Efficiency,Discharge Efficiency,Objective Value ($),Avg Market Price ($/MWh),Total Production (MW)
100,100,50,0.8,0.95,1223565.464690918,9.158750000000001,52227.074989999965
100,100,50,0.9,0.8,1223565.464690918,9.158750000000001,52206.22858999996
100,100,50,0.9,0.9,1223565.464690918,9.158750000000001,52213.17303444441
100,100,50,0.9,0.95,1223565.464690918,9.158750000000001,52227.074989999965
100,100,50,0.95,0.8,1223565.4646909179,9.158750000000001,52260.65279999996
100,100,50,0.95,0.9,1223565.464690918,9.158750000000001,52287.50638999997
100,100,50,0.95,0.95,1223565.464690918,9.158750000000001,52227.074989999965
100,100,100,0.8,0.8,1223565.464690918,9.158750000000001,52164.62920999996
100,100,100,0.8,0.9,1223565.464690918,9.158750000000001,52164.62920999996
100,100,100,0.8,0.95,1223565.4646909183,9.158750000000001,52207.624209999965
100,100,100,0.9,0.8,1223565.464690918,9.158750000000001,52164.62920999996
100,100,100,0.9,0.9,1223565.4646909179,9.158750000000001,52228.08217999996
100,100,100,0.9,0.95,1223565.464690918,9.158750000000001,52228.08217999996
100,100,100,0.95,0.8,1223565.464690918,9.158750000000001,52317.53559999997
100,100,100,0.95,0.9,1223565.4646909183,9.158750000000001,52317.53559999997
100,100,100,0.95,0.95,1223565.4646909179,9.158750000000001,52199.82059999996
100,100,150,0.8,0.8,1223565.464690918,9.158750000000001,52164.62920999996
100,100,150,0.8,0.9,1223565.464690918,9.158750000000001,52164.62920999996
100,100,150,0.8,0.95,1223565.4646909183,9.158750000000001,52207.624209999965
100,100,150,0.9,0.8,1223565.464690918,9.158750000000001,52164.62920999996
100,100,150,0.9,0.9,1223565.4646909179,9.158750000000001,52228.08217999996
100,100,150,0.9,0.95,1223565.4646909179,9.158750000000001,52228.08217999996
100,100,150,0.95,0.8,1223565.464690918,9.158750000000001,52317.53559999997
100,100,150,0.95,0.9,1223565.464690918,9.158750000000001,52317.53559999997
100,100,150,0.95,0.95,1223565.4646909179,9.158750000000001,52199.82059999996
100,150,50,0.8,0.8,1223565.4646909179,9.158750000000001,52196.22858999996
100,150,50,0.8,0.9,1223565.464690918,9.158750000000001,52203.17303444441
100,150,50,0.8,0.95,1223565.464690918,9.158750000000001,52227.07498999997
100,150,50,0.9,0.8,1223565.464690918,9.158750000000001,52196.22858999996
100,150,50,0.9,0.9,1223565.464690918,9.158750000000001,52203.17303444441
100,150,50,0.9,0.95,1223565.464690918,9.158750000000001,52227.07498999997
100,150,50,0.95,0.8,1223565.464690918,9.158750000000001,52196.22858999996
100,150,50,0.95,0.9,1223565.464690918,9.158750000000001,52239.86583444441
100,150,50,0.95,0.95,1223565.464690918,9.158750000000001,52227.07498999997
100,150,100,0.8,0.8,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.8,0.9,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.8,0.95,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.9,0.8,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.9,0.9,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.9,0.95,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.95,0.8,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.95,0.9,1223565.464690918,9.158750000000001,52287.506389999966
100,150,100,0.95,0.95,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.8,0.8,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.8,0.9,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.8,0.95,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.9,0.8,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.9,0.9,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.9,0.95,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.95,0.8,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.95,0.9,1223565.464690918,9.158750000000001,52287.506389999966
100,150,150,0.95,0.95,1223565.464690918,9.158750000000001,52287.506389999966
200,50,50,0.8,0.8,1224045.0646909182,9.158750000000001,52426.93059999996
200,50,50,0.8,0.9,1224045.0646909182,9.158750000000001,52426.93059999996
200,50,50,0.8,0.95,1224045.0646909182,9.158750000000001,52426.93059999996
200,50,50,0.9,0.8,1224048.7646909181,9.158750000000001,52377.506389999966
200,50,50,0.9,0.9,1224048.7646909181,9.158750000000001,52436.93059999996
200,50,50,0.9,0.95,1224048.7646909181,9.158750000000001,52436.93059999996
200,50,50,0.95,0.8,1224050.6146909182,9.158750000000001,52381.49919999997
200,50,50,0.95,0.9,1224050.6146909182,9.158750000000001,52382.506389999966
200,50,50,0.95,0.95,1224050.6146909182,9.158750000000001,52441.93059999996
200,50,100,0.8,0.8,1224045.064690918,9.158750000000001,52426.93059999996
200,50,100,0.8,0.9,1224045.0646909182,9.158750000000001,52426.93059999996
200,50,100,0.8,0.95,1224045.0646909182,9.158750000000001,52426.93059999996
200,50,100,0.9,0.8,1224048.7646909181,9.158750000000001,52377.506389999966
200,50,100,0.9,0.9,1224048.7646909181,9.158750000000001,52376.49919999997
200,50,100,0.9,0.95,1224048.7646909181,9.158750000000001,52436.93059999996
200,50,100,0.95,0.8,1224050.614690918,9.158750000000001,52381.49919999997
200,50,100,0.95,0.9,1224050.614690918,9.158750000000001,52441.93059999996
200,50,100,0.95,0.95,1224050.6146909182,9.158750000000001,52382.506389999966
200,50,150,0.8,0.8,1224045.064690918,9.158750000000001,52352.39853999996
200,50,150,0.8,0.9,1224045.0646909182,9.158750000000001,52352.39853999996
200,50,150,0.8,0.95,1224045.0646909182,9.158750000000001,52352.39853999996
200,50,150,0.9,0.8,1224048.7646909181,9.158750000000001,52302.97432999996
200,50,150,0.9,0.9,1224048.7646909181,9.158750000000001,52362.39853999996
200,50,150,0.9,0.95,1224048.7646909184,9.158750000000001,52362.39853999996
200,50,150,0.95,0.8,1224050.614690918,9.158750000000001,52306.967139999964
200,50,150,0.95,0.9,1224050.6146909182,9.158750000000001,52307.97432999996
200,50,150,0.95,0.95,1224050.6146909182,9.158750000000001,52306.967139999964
200,100,50,0.8,0.8,1224068.3728409181,9.112500000000004,52418.64779999996
200,100,50,0.8,0.9,1224062.072357585,9.066250000000004,52413.47305666664
200,100,50,0.8,0.95,1224058.82674355,9.066250000000004,52404.701126842076
200,100,50,0.9,0.8,1224068.3728409181,9.112500000000004,52408.64779999996
200,100,50,0.9,0.9,1224062.072357585,9.066250000000004,52413.47305666664
200,100,50,0.9,0.95,1224058.82674355,9.066250000000004,52403.69393684208
200,100,50,0.95,0.8,1224068.3728409181,9.112500000000004,52370.06998999996
200,100,50,0.95,0.9,1224062.072357585,9.066250000000004,52472.89726666664
200,100,50,0.95,0.95,1224058.82674355,9.066250000000004,52403.69393684208
200,100,100,0.8,0.8,1224068.3728409181,9.112500000000004,52371.07717999997
200,100,100,0.8,0.9,1224068.3728409181,9.112500000000004,52371.077179999964
200,100,100,0.8,0.95,1224068.3728409181,9.112500000000004,52371.077179999964
200,100,100,0.9,0.8,1224068.3728409181,9.112500000000004,52371.07717999997
200,100,100,0.9,0.9,1224068.3728409181,9.112500000000004,52371.077179999964
200,100,100,0.9,0.95,1224068.3728409181,9.112500000000004,52371.077179999964
200,100,100,0.95,0.8,1224068.3728409181,9.112500000000004,52316.05498999996
200,100,100,0.95,0.9,1224068.3728409184,9.112500000000004,52495.81427111108
