"startTime";"endTime";"Wind power generation - 15 min data"
"2015-03-30T00:00:00.000Z";"2015-03-30T01:00:00.000Z";314
"2015-03-30T01:00:00.000Z";"2015-03-30T02:00:00.000Z";283
"2015-03-30T02:00:00.000Z";"2015-03-30T03:00:00.000Z";389
"2015-03-30T03:00:00.000Z";"2015-03-30T04:00:00.000Z";426
"2015-03-30T04:00:00.000Z";"2015-03-30T05:00:00.000Z";324
"2015-03-30T05:00:00.000Z";"2015-03-30T06:00:00.000Z";423
"2015-03-30T06:00:00.000Z";"2015-03-30T07:00:00.000Z";443
"2015-03-30T07:00:00.000Z";"2015-03-30T08:00:00.000Z";428
"2015-03-30T08:00:00.000Z";"2015-03-30T09:00:00.000Z";415
"2015-03-30T09:00:00.000Z";"2015-03-30T10:00:00.000Z";388
"2015-03-30T10:00:00.000Z";"2015-03-30T11:00:00.000Z";362
"2015-03-30T11:00:00.000Z";"2015-03-30T12:00:00.000Z";345
"2015-03-30T12:00:00.000Z";"2015-03-30T13:00:00.000Z";309
"2015-03-30T13:00:00.000Z";"2015-03-30T14:00:00.000Z";284
"2015-03-30T14:00:00.000Z";"2015-03-30T15:00:00.000Z";259
"2015-03-30T15:00:00.000Z";"2015-03-30T16:00:00.000Z";241
"2015-03-30T16:00:00.000Z";"2015-03-30T17:00:00.000Z";226
"2015-03-30T17:00:00.000Z";"2015-03-30T18:00:00.000Z";229
"2015-03-30T18:00:00.000Z";"2015-03-30T19:00:00.000Z";221
"2015-03-30T19:00:00.000Z";"2015-03-30T20:00:00.000Z";211
"2015-03-30T20:00:00.000Z";"2015-03-30T21:00:00.000Z";203
"2015-03-30T21:00:00.000Z";"2015-03-30T22:00:00.000Z";200
"2015-03-30T22:00:00.000Z";"2015-03-30T23:00:00.000Z";203
"2015-03-30T23:00:00.000Z";"2015-03-31T00:00:00.000Z";211
