"startTime";"endTime";"Wind power generation - 15 min data"
"2022-03-30T00:00:00.000Z";"2022-03-30T01:00:00.000Z";1770
"2022-03-30T01:00:00.000Z";"2022-03-30T02:00:00.000Z";1719
"2022-03-30T02:00:00.000Z";"2022-03-30T03:00:00.000Z";1707
"2022-03-30T03:00:00.000Z";"2022-03-30T04:00:00.000Z";1628
"2022-03-30T04:00:00.000Z";"2022-03-30T05:00:00.000Z";1576
"2022-03-30T05:00:00.000Z";"2022-03-30T06:00:00.000Z";1334
"2022-03-30T06:00:00.000Z";"2022-03-30T07:00:00.000Z";1054
"2022-03-30T07:00:00.000Z";"2022-03-30T08:00:00.000Z";975
"2022-03-30T08:00:00.000Z";"2022-03-30T09:00:00.000Z";1048
"2022-03-30T09:00:00.000Z";"2022-03-30T10:00:00.000Z";1176
"2022-03-30T10:00:00.000Z";"2022-03-30T11:00:00.000Z";1282
"2022-03-30T11:00:00.000Z";"2022-03-30T12:00:00.000Z";1399
"2022-03-30T12:00:00.000Z";"2022-03-30T13:00:00.000Z";1480
"2022-03-30T13:00:00.000Z";"2022-03-30T14:00:00.000Z";1385
"2022-03-30T14:00:00.000Z";"2022-03-30T15:00:00.000Z";1252
"2022-03-30T15:00:00.000Z";"2022-03-30T16:00:00.000Z";1025
"2022-03-30T16:00:00.000Z";"2022-03-30T17:00:00.000Z";863
"2022-03-30T17:00:00.000Z";"2022-03-30T18:00:00.000Z";932
"2022-03-30T18:00:00.000Z";"2022-03-30T19:00:00.000Z";1208
"2022-03-30T19:00:00.000Z";"2022-03-30T20:00:00.000Z";1423
"2022-03-30T20:00:00.000Z";"2022-03-30T21:00:00.000Z";1444
"2022-03-30T21:00:00.000Z";"2022-03-30T22:00:00.000Z";1428
"2022-03-30T22:00:00.000Z";"2022-03-30T23:00:00.000Z";1324
"2022-03-30T23:00:00.000Z";"2022-03-31T00:00:00.000Z";1271
