"startTime";"endTime";"Wind power generation - 15 min data"
"2023-03-30T00:00:00.000Z";"2023-03-30T01:00:00.000Z";885
"2023-03-30T01:00:00.000Z";"2023-03-30T02:00:00.000Z";800
"2023-03-30T02:00:00.000Z";"2023-03-30T03:00:00.000Z";814
"2023-03-30T03:00:00.000Z";"2023-03-30T04:00:00.000Z";918
"2023-03-30T04:00:00.000Z";"2023-03-30T05:00:00.000Z";1064
"2023-03-30T05:00:00.000Z";"2023-03-30T06:00:00.000Z";1137
"2023-03-30T06:00:00.000Z";"2023-03-30T07:00:00.000Z";1032
"2023-03-30T07:00:00.000Z";"2023-03-30T08:00:00.000Z";777
"2023-03-30T08:00:00.000Z";"2023-03-30T09:00:00.000Z";914
"2023-03-30T09:00:00.000Z";"2023-03-30T10:00:00.000Z";1320
"2023-03-30T10:00:00.000Z";"2023-03-30T11:00:00.000Z";1511
"2023-03-30T11:00:00.000Z";"2023-03-30T12:00:00.000Z";1717
"2023-03-30T12:00:00.000Z";"2023-03-30T13:00:00.000Z";2110
"2023-03-30T13:00:00.000Z";"2023-03-30T14:00:00.000Z";2161
"2023-03-30T14:00:00.000Z";"2023-03-30T15:00:00.000Z";2120
"2023-03-30T15:00:00.000Z";"2023-03-30T16:00:00.000Z";2243
"2023-03-30T16:00:00.000Z";"2023-03-30T17:00:00.000Z";2148
"2023-03-30T17:00:00.000Z";"2023-03-30T18:00:00.000Z";2476
"2023-03-30T18:00:00.000Z";"2023-03-30T19:00:00.000Z";3076
"2023-03-30T19:00:00.000Z";"2023-03-30T20:00:00.000Z";3545
"2023-03-30T20:00:00.000Z";"2023-03-30T21:00:00.000Z";3717
"2023-03-30T21:00:00.000Z";"2023-03-30T22:00:00.000Z";3740
"2023-03-30T22:00:00.000Z";"2023-03-30T23:00:00.000Z";3716
"2023-03-30T23:00:00.000Z";"2023-03-31T00:00:00.000Z";3729
