"startTime";"endTime";"Wind power generation - 15 min data"
"2016-03-30T00:00:00.000Z";"2016-03-30T01:00:00.000Z";428
"2016-03-30T01:00:00.000Z";"2016-03-30T02:00:00.000Z";368
"2016-03-30T02:00:00.000Z";"2016-03-30T03:00:00.000Z";321
"2016-03-30T03:00:00.000Z";"2016-03-30T04:00:00.000Z";292
"2016-03-30T04:00:00.000Z";"2016-03-30T05:00:00.000Z";262
"2016-03-30T05:00:00.000Z";"2016-03-30T06:00:00.000Z";228
"2016-03-30T06:00:00.000Z";"2016-03-30T07:00:00.000Z";176
"2016-03-30T07:00:00.000Z";"2016-03-30T08:00:00.000Z";137
"2016-03-30T08:00:00.000Z";"2016-03-30T09:00:00.000Z";119
"2016-03-30T09:00:00.000Z";"2016-03-30T10:00:00.000Z";95
"2016-03-30T10:00:00.000Z";"2016-03-30T11:00:00.000Z";90
"2016-03-30T11:00:00.000Z";"2016-03-30T12:00:00.000Z";97
"2016-03-30T12:00:00.000Z";"2016-03-30T13:00:00.000Z";95
"2016-03-30T13:00:00.000Z";"2016-03-30T14:00:00.000Z";99
"2016-03-30T14:00:00.000Z";"2016-03-30T15:00:00.000Z";95
"2016-03-30T15:00:00.000Z";"2016-03-30T16:00:00.000Z";98
"2016-03-30T16:00:00.000Z";"2016-03-30T17:00:00.000Z";98
"2016-03-30T17:00:00.000Z";"2016-03-30T18:00:00.000Z";105
"2016-03-30T18:00:00.000Z";"2016-03-30T19:00:00.000Z";97
"2016-03-30T19:00:00.000Z";"2016-03-30T20:00:00.000Z";92
"2016-03-30T20:00:00.000Z";"2016-03-30T21:00:00.000Z";94
"2016-03-30T21:00:00.000Z";"2016-03-30T22:00:00.000Z";85
"2016-03-30T22:00:00.000Z";"2016-03-30T23:00:00.000Z";69
"2016-03-30T23:00:00.000Z";"2016-03-31T00:00:00.000Z";60
