startTime;endTime;value
2025-03-30T0000;2025-03-30T0100;15207.23
2025-03-30T0100;2025-03-30T0200;14193.93
2025-03-30T0200;2025-03-30T0300;12651.74
2025-03-30T0300;2025-03-30T0400;11369.48
2025-03-30T0400;2025-03-30T0500;10422.19
2025-03-30T0500;2025-03-30T0600;7856.89
2025-03-30T0600;2025-03-30T0700;3641.47
2025-03-30T0700;2025-03-30T0800;2137.41
2025-03-30T0800;2025-03-30T0900;2171.84
2025-03-30T0900;2025-03-30T1000;1834.7
2025-03-30T1000;2025-03-30T1100;1262.62
2025-03-30T1100;2025-03-30T1200;859.47
2025-03-30T1200;2025-03-30T1300;608.9399999999999
2025-03-30T1300;2025-03-30T1400;325.64
2025-03-30T1400;2025-03-30T1500;217.44
2025-03-30T1500;2025-03-30T1600;270.54999999999995
2025-03-30T1600;2025-03-30T1700;513.88
2025-03-30T1700;2025-03-30T1800;1191.8000000000002
2025-03-30T1800;2025-03-30T1900;2463.36
2025-03-30T1900;2025-03-30T2000;3704.72
2025-03-30T2000;2025-03-30T2100;4164.31
2025-03-30T2100;2025-03-30T2200;3934.2200000000003
2025-03-30T2200;2025-03-30T2300;3130.97
2025-03-30T2300;2025-03-31T0000;2133.8
