startTime;endTime;value
2024-03-30T0000;2024-03-30T0100;13821.94995
2024-03-30T0100;2024-03-30T0200;13637.630130000001
2024-03-30T0200;2024-03-30T0300;12838.72998
2024-03-30T0300;2024-03-30T0400;12222.00976
2024-03-30T0400;2024-03-30T0500;11831.83008
2024-03-30T0500;2024-03-30T0600;10813.16967
2024-03-30T0600;2024-03-30T0700;9533.76001
2024-03-30T0700;2024-03-30T0800;8558.39014
2024-03-30T0800;2024-03-30T0900;7504.78003
2024-03-30T0900;2024-03-30T1000;6986.21997
2024-03-30T1000;2024-03-30T1100;7674.26991
2024-03-30T1100;2024-03-30T1200;8202.63989
2024-03-30T1200;2024-03-30T1300;7959.83997
2024-03-30T1300;2024-03-30T1400;7723.47998
2024-03-30T1400;2024-03-30T1500;7565.55016
2024-03-30T1500;2024-03-30T1600;7189.01001
2024-03-30T1600;2024-03-30T1700;7484.25001
2024-03-30T1700;2024-03-30T1800;6528.65991
2024-03-30T1800;2024-03-30T1900;6032.06996
2024-03-30T1900;2024-03-30T2000;6414.82007
2024-03-30T2000;2024-03-30T2100;5997.43995
2024-03-30T2100;2024-03-30T2200;5669.01001
2024-03-30T2200;2024-03-30T2300;5993.740110000001
2024-03-30T2300;2024-03-31T0000;5618.68005
