"startTime";"endTime";"Wind power generation - 15 min data"
"2019-03-30T00:00:00.000Z";"2019-03-30T01:00:00.000Z";1397
"2019-03-30T01:00:00.000Z";"2019-03-30T02:00:00.000Z";1407
"2019-03-30T02:00:00.000Z";"2019-03-30T03:00:00.000Z";1457
"2019-03-30T03:00:00.000Z";"2019-03-30T04:00:00.000Z";1564
"2019-03-30T04:00:00.000Z";"2019-03-30T05:00:00.000Z";1621
"2019-03-30T05:00:00.000Z";"2019-03-30T06:00:00.000Z";1595
"2019-03-30T06:00:00.000Z";"2019-03-30T07:00:00.000Z";1528
"2019-03-30T07:00:00.000Z";"2019-03-30T08:00:00.000Z";1523
"2019-03-30T08:00:00.000Z";"2019-03-30T09:00:00.000Z";1518
"2019-03-30T09:00:00.000Z";"2019-03-30T10:00:00.000Z";1505
"2019-03-30T10:00:00.000Z";"2019-03-30T11:00:00.000Z";1451
"2019-03-30T11:00:00.000Z";"2019-03-30T12:00:00.000Z";1402
"2019-03-30T12:00:00.000Z";"2019-03-30T13:00:00.000Z";1345
"2019-03-30T13:00:00.000Z";"2019-03-30T14:00:00.000Z";1334
"2019-03-30T14:00:00.000Z";"2019-03-30T15:00:00.000Z";1303
"2019-03-30T15:00:00.000Z";"2019-03-30T16:00:00.000Z";1236
"2019-03-30T16:00:00.000Z";"2019-03-30T17:00:00.000Z";1185
"2019-03-30T17:00:00.000Z";"2019-03-30T18:00:00.000Z";1103
"2019-03-30T18:00:00.000Z";"2019-03-30T19:00:00.000Z";1092
"2019-03-30T19:00:00.000Z";"2019-03-30T20:00:00.000Z";1042
"2019-03-30T20:00:00.000Z";"2019-03-30T21:00:00.000Z";931
"2019-03-30T21:00:00.000Z";"2019-03-30T22:00:00.000Z";838
"2019-03-30T22:00:00.000Z";"2019-03-30T23:00:00.000Z";808
"2019-03-30T23:00:00.000Z";"2019-03-31T00:00:00.000Z";857
