"startTime";"endTime";"Wind power generation - 15 min data"
"2021-03-30T00:00:00.000Z";"2021-03-30T01:00:00.000Z";1920
"2021-03-30T01:00:00.000Z";"2021-03-30T02:00:00.000Z";1969
"2021-03-30T02:00:00.000Z";"2021-03-30T03:00:00.000Z";1987
"2021-03-30T03:00:00.000Z";"2021-03-30T04:00:00.000Z";1926
"2021-03-30T04:00:00.000Z";"2021-03-30T05:00:00.000Z";1777
"2021-03-30T05:00:00.000Z";"2021-03-30T06:00:00.000Z";1759
"2021-03-30T06:00:00.000Z";"2021-03-30T07:00:00.000Z";1785
"2021-03-30T07:00:00.000Z";"2021-03-30T08:00:00.000Z";1741
"2021-03-30T08:00:00.000Z";"2021-03-30T09:00:00.000Z";1645
"2021-03-30T09:00:00.000Z";"2021-03-30T10:00:00.000Z";1654
"2021-03-30T10:00:00.000Z";"2021-03-30T11:00:00.000Z";1750
"2021-03-30T11:00:00.000Z";"2021-03-30T12:00:00.000Z";1874
"2021-03-30T12:00:00.000Z";"2021-03-30T13:00:00.000Z";1998
"2021-03-30T13:00:00.000Z";"2021-03-30T14:00:00.000Z";2067
"2021-03-30T14:00:00.000Z";"2021-03-30T15:00:00.000Z";2014
"2021-03-30T15:00:00.000Z";"2021-03-30T16:00:00.000Z";1874
"2021-03-30T16:00:00.000Z";"2021-03-30T17:00:00.000Z";1711
"2021-03-30T17:00:00.000Z";"2021-03-30T18:00:00.000Z";1762
"2021-03-30T18:00:00.000Z";"2021-03-30T19:00:00.000Z";1906
"2021-03-30T19:00:00.000Z";"2021-03-30T20:00:00.000Z";1887
"2021-03-30T20:00:00.000Z";"2021-03-30T21:00:00.000Z";1847
"2021-03-30T21:00:00.000Z";"2021-03-30T22:00:00.000Z";1783
"2021-03-30T22:00:00.000Z";"2021-03-30T23:00:00.000Z";1684
"2021-03-30T23:00:00.000Z";"2021-03-31T00:00:00.000Z";1717
