"startTime";"endTime";"Wind power generation - 15 min data"
"2018-03-30T00:00:00.000Z";"2018-03-30T01:00:00.000Z";531
"2018-03-30T01:00:00.000Z";"2018-03-30T02:00:00.000Z";476
"2018-03-30T02:00:00.000Z";"2018-03-30T03:00:00.000Z";414
"2018-03-30T03:00:00.000Z";"2018-03-30T04:00:00.000Z";344
"2018-03-30T04:00:00.000Z";"2018-03-30T05:00:00.000Z";244
"2018-03-30T05:00:00.000Z";"2018-03-30T06:00:00.000Z";193
"2018-03-30T06:00:00.000Z";"2018-03-30T07:00:00.000Z";120
"2018-03-30T07:00:00.000Z";"2018-03-30T08:00:00.000Z";63
"2018-03-30T08:00:00.000Z";"2018-03-30T09:00:00.000Z";28
"2018-03-30T09:00:00.000Z";"2018-03-30T10:00:00.000Z";21
"2018-03-30T10:00:00.000Z";"2018-03-30T11:00:00.000Z";30
"2018-03-30T11:00:00.000Z";"2018-03-30T12:00:00.000Z";48
"2018-03-30T12:00:00.000Z";"2018-03-30T13:00:00.000Z";58
"2018-03-30T13:00:00.000Z";"2018-03-30T14:00:00.000Z";61
"2018-03-30T14:00:00.000Z";"2018-03-30T15:00:00.000Z";61
"2018-03-30T15:00:00.000Z";"2018-03-30T16:00:00.000Z";63
"2018-03-30T16:00:00.000Z";"2018-03-30T17:00:00.000Z";90
"2018-03-30T17:00:00.000Z";"2018-03-30T18:00:00.000Z";142
"2018-03-30T18:00:00.000Z";"2018-03-30T19:00:00.000Z";199
"2018-03-30T19:00:00.000Z";"2018-03-30T20:00:00.000Z";238
"2018-03-30T20:00:00.000Z";"2018-03-30T21:00:00.000Z";285
"2018-03-30T21:00:00.000Z";"2018-03-30T22:00:00.000Z";321
"2018-03-30T22:00:00.000Z";"2018-03-30T23:00:00.000Z";386
"2018-03-30T23:00:00.000Z";"2018-03-31T00:00:00.000Z";392
