startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2018-03-30T00:00:00.000Z;2018-03-30T01:00:00.000Z;531;2008;0.264442231
2018-03-30T01:00:00.000Z;2018-03-30T02:00:00.000Z;476;2008;0.237051793
2018-03-30T02:00:00.000Z;2018-03-30T03:00:00.000Z;414;2008;0.206175299
2018-03-30T03:00:00.000Z;2018-03-30T04:00:00.000Z;344;2008;0.171314741
2018-03-30T04:00:00.000Z;2018-03-30T05:00:00.000Z;244;2008;0.121513944
2018-03-30T05:00:00.000Z;2018-03-30T06:00:00.000Z;193;2008;0.096115538
2018-03-30T06:00:00.000Z;2018-03-30T07:00:00.000Z;120;2008;0.059760956
2018-03-30T07:00:00.000Z;2018-03-30T08:00:00.000Z;63;2008;0.031374502
2018-03-30T08:00:00.000Z;2018-03-30T09:00:00.000Z;28;2008;0.013944223
2018-03-30T09:00:00.000Z;2018-03-30T10:00:00.000Z;21;2008;0.010458167
2018-03-30T10:00:00.000Z;2018-03-30T11:00:00.000Z;30;2008;0.014940239
2018-03-30T11:00:00.000Z;2018-03-30T12:00:00.000Z;48;2008;0.023904382
2018-03-30T12:00:00.000Z;2018-03-30T13:00:00.000Z;58;2008;0.028884462
2018-03-30T13:00:00.000Z;2018-03-30T14:00:00.000Z;61;2008;0.030378486
2018-03-30T14:00:00.000Z;2018-03-30T15:00:00.000Z;61;2008;0.030378486
2018-03-30T15:00:00.000Z;2018-03-30T16:00:00.000Z;63;2008;0.031374502
2018-03-30T16:00:00.000Z;2018-03-30T17:00:00.000Z;90;2008;0.044820717
2018-03-30T17:00:00.000Z;2018-03-30T18:00:00.000Z;142;2008;0.070717131
2018-03-30T18:00:00.000Z;2018-03-30T19:00:00.000Z;199;2008;0.099103586
2018-03-30T19:00:00.000Z;2018-03-30T20:00:00.000Z;238;2008;0.118525896
2018-03-30T20:00:00.000Z;2018-03-30T21:00:00.000Z;285;2008;0.141932271
2018-03-30T21:00:00.000Z;2018-03-30T22:00:00.000Z;321;2008;0.159860558
2018-03-30T22:00:00.000Z;2018-03-30T23:00:00.000Z;386;2008;0.192231076
2018-03-30T23:00:00.000Z;2018-03-31T00:00:00.000Z;392;2008;0.195219124
