startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2017-03-30T00:00:00.000Z;2017-03-30T01:00:00.000Z;314;1523;0.206172029
2017-03-30T01:00:00.000Z;2017-03-30T02:00:00.000Z;296;1523;0.19435325
2017-03-30T02:00:00.000Z;2017-03-30T03:00:00.000Z;252;1523;0.165462902
2017-03-30T03:00:00.000Z;2017-03-30T04:00:00.000Z;183;1523;0.120157584
2017-03-30T04:00:00.000Z;2017-03-30T05:00:00.000Z;144;1523;0.09455023
2017-03-30T05:00:00.000Z;2017-03-30T06:00:00.000Z;123;1523;0.080761655
2017-03-30T06:00:00.000Z;2017-03-30T07:00:00.000Z;126;1523;0.082731451
2017-03-30T07:00:00.000Z;2017-03-30T08:00:00.000Z;106;1523;0.069599475
2017-03-30T08:00:00.000Z;2017-03-30T09:00:00.000Z;146;1523;0.095863427
2017-03-30T09:00:00.000Z;2017-03-30T10:00:00.000Z;216;1523;0.141825345
2017-03-30T10:00:00.000Z;2017-03-30T11:00:00.000Z;295;1523;0.193696651
2017-03-30T11:00:00.000Z;2017-03-30T12:00:00.000Z;375;1523;0.246224557
2017-03-30T12:00:00.000Z;2017-03-30T13:00:00.000Z;397;1523;0.260669731
2017-03-30T13:00:00.000Z;2017-03-30T14:00:00.000Z;398;1523;0.26132633
2017-03-30T14:00:00.000Z;2017-03-30T15:00:00.000Z;379;1523;0.248850952
2017-03-30T15:00:00.000Z;2017-03-30T16:00:00.000Z;329;1523;0.216021011
2017-03-30T16:00:00.000Z;2017-03-30T17:00:00.000Z;324;1523;0.212738017
2017-03-30T17:00:00.000Z;2017-03-30T18:00:00.000Z;350;1523;0.229809586
2017-03-30T18:00:00.000Z;2017-03-30T19:00:00.000Z;449;1523;0.294812869
2017-03-30T19:00:00.000Z;2017-03-30T20:00:00.000Z;454;1523;0.298095863
2017-03-30T20:00:00.000Z;2017-03-30T21:00:00.000Z;368;1523;0.241628365
2017-03-30T21:00:00.000Z;2017-03-30T22:00:00.000Z;302;1523;0.198292843
2017-03-30T22:00:00.000Z;2017-03-30T23:00:00.000Z;210;1523;0.137885752
2017-03-30T23:00:00.000Z;2017-03-31T00:00:00.000Z;136;1523;0.089297439
