startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2019-03-30T00:00:00.000Z;2019-03-30T01:00:00.000Z;1397;2017;0.692612791
2019-03-30T01:00:00.000Z;2019-03-30T02:00:00.000Z;1407;2017;0.697570649
2019-03-30T02:00:00.000Z;2019-03-30T03:00:00.000Z;1457;2017;0.722359941
2019-03-30T03:00:00.000Z;2019-03-30T04:00:00.000Z;1564;2017;0.775409023
2019-03-30T04:00:00.000Z;2019-03-30T05:00:00.000Z;1621;2017;0.803668815
2019-03-30T05:00:00.000Z;2019-03-30T06:00:00.000Z;1595;2017;0.790778384
2019-03-30T06:00:00.000Z;2019-03-30T07:00:00.000Z;1528;2017;0.757560734
2019-03-30T07:00:00.000Z;2019-03-30T08:00:00.000Z;1523;2017;0.755081805
2019-03-30T08:00:00.000Z;2019-03-30T09:00:00.000Z;1518;2017;0.752602876
2019-03-30T09:00:00.000Z;2019-03-30T10:00:00.000Z;1505;2017;0.74615766
2019-03-30T10:00:00.000Z;2019-03-30T11:00:00.000Z;1451;2017;0.719385226
2019-03-30T11:00:00.000Z;2019-03-30T12:00:00.000Z;1402;2017;0.69509172
2019-03-30T12:00:00.000Z;2019-03-30T13:00:00.000Z;1345;2017;0.666831929
2019-03-30T13:00:00.000Z;2019-03-30T14:00:00.000Z;1334;2017;0.661378285
2019-03-30T14:00:00.000Z;2019-03-30T15:00:00.000Z;1303;2017;0.646008924
2019-03-30T15:00:00.000Z;2019-03-30T16:00:00.000Z;1236;2017;0.612791274
2019-03-30T16:00:00.000Z;2019-03-30T17:00:00.000Z;1185;2017;0.587506197
2019-03-30T17:00:00.000Z;2019-03-30T18:00:00.000Z;1103;2017;0.54685176
2019-03-30T18:00:00.000Z;2019-03-30T19:00:00.000Z;1092;2017;0.541398116
2019-03-30T19:00:00.000Z;2019-03-30T20:00:00.000Z;1042;2017;0.516608825
2019-03-30T20:00:00.000Z;2019-03-30T21:00:00.000Z;931;2017;0.461576599
2019-03-30T21:00:00.000Z;2019-03-30T22:00:00.000Z;838;2017;0.415468518
2019-03-30T22:00:00.000Z;2019-03-30T23:00:00.000Z;808;2017;0.400594943
2019-03-30T23:00:00.000Z;2019-03-31T00:00:00.000Z;857;2017;0.424888448
