startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2015-03-30T00:00:00.000Z;2015-03-30T01:00:00.000Z;314;625;0.5024
2015-03-30T01:00:00.000Z;2015-03-30T02:00:00.000Z;283;625;0.4528
2015-03-30T02:00:00.000Z;2015-03-30T03:00:00.000Z;389;625;0.6224
2015-03-30T03:00:00.000Z;2015-03-30T04:00:00.000Z;426;625;0.6816
2015-03-30T04:00:00.000Z;2015-03-30T05:00:00.000Z;324;625;0.5184
2015-03-30T05:00:00.000Z;2015-03-30T06:00:00.000Z;423;625;0.6768
2015-03-30T06:00:00.000Z;2015-03-30T07:00:00.000Z;443;625;0.7088
2015-03-30T07:00:00.000Z;2015-03-30T08:00:00.000Z;428;625;0.6848
2015-03-30T08:00:00.000Z;2015-03-30T09:00:00.000Z;415;625;0.664
2015-03-30T09:00:00.000Z;2015-03-30T10:00:00.000Z;388;625;0.6208
2015-03-30T10:00:00.000Z;2015-03-30T11:00:00.000Z;362;625;0.5792
2015-03-30T11:00:00.000Z;2015-03-30T12:00:00.000Z;345;625;0.552
2015-03-30T12:00:00.000Z;2015-03-30T13:00:00.000Z;309;625;0.4944
2015-03-30T13:00:00.000Z;2015-03-30T14:00:00.000Z;284;625;0.4544
2015-03-30T14:00:00.000Z;2015-03-30T15:00:00.000Z;259;625;0.4144
2015-03-30T15:00:00.000Z;2015-03-30T16:00:00.000Z;241;625;0.3856
2015-03-30T16:00:00.000Z;2015-03-30T17:00:00.000Z;226;625;0.3616
2015-03-30T17:00:00.000Z;2015-03-30T18:00:00.000Z;229;625;0.3664
2015-03-30T18:00:00.000Z;2015-03-30T19:00:00.000Z;221;625;0.3536
2015-03-30T19:00:00.000Z;2015-03-30T20:00:00.000Z;211;625;0.3376
2015-03-30T20:00:00.000Z;2015-03-30T21:00:00.000Z;203;625;0.3248
2015-03-30T21:00:00.000Z;2015-03-30T22:00:00.000Z;200;625;0.32
2015-03-30T22:00:00.000Z;2015-03-30T23:00:00.000Z;203;625;0.3248
2015-03-30T23:00:00.000Z;2015-03-31T00:00:00.000Z;211;625;0.3376
