wind_cf
0.584
0.609
0.616
0.612
0.614
0.617
0.607
0.611
0.607
0.625
0.644
0.658
0.661
0.656
0.674
0.702
0.717
0.726
0.742
0.773
0.778
0.763
0.742
0.743
