00:00 - 01:00,181.76
01:00 - 02:00,181.69
02:00 - 03:00,181.76
03:00 - 04:00,182.05
04:00 - 05:00,182.2
05:00 - 06:00,182.22
06:00 - 07:00,207.9
07:00 - 08:00,246.68
08:00 - 09:00,276.97
09:00 - 10:00,226.76
10:00 - 11:00,214.6
11:00 - 12:00,210.06
12:00 - 13:00,202.42
13:00 - 14:00,199.18
14:00 - 15:00,197.28
15:00 - 16:00,193.82
16:00 - 17:00,195.34
17:00 - 18:00,199.64
18:00 - 19:00,220.06
19:00 - 20:00,274.96
20:00 - 21:00,261.96
21:00 - 22:00,234.96
22:00 - 23:00,211.31
23:00 - 00:00,191.6
