"startTime";"endTime";"Wind power production - real time data"
"2024-03-29T02:58:00.000Z";"2024-03-29T02:58:00.000Z";2604.5
"2024-03-29T03:01:00.000Z";"2024-03-29T03:01:00.000Z";2618
"2024-03-29T03:04:00.000Z";"2024-03-29T03:04:00.000Z";2647.5
"2024-03-29T03:07:00.000Z";"2024-03-29T03:07:00.000Z";2676.5
"2024-03-29T03:10:00.000Z";"2024-03-29T03:10:00.000Z";2680.5
"2024-03-29T03:13:00.000Z";"2024-03-29T03:13:00.000Z";2690.5
"2024-03-29T03:16:00.000Z";"2024-03-29T03:16:00.000Z";2693.5
"2024-03-29T03:19:00.000Z";"2024-03-29T03:19:00.000Z";2695.5
"2024-03-29T03:22:00.000Z";"2024-03-29T03:22:00.000Z";2695.5
"2024-03-29T03:25:00.000Z";"2024-03-29T03:25:00.000Z";2688
"2024-03-29T03:28:00.000Z";"2024-03-29T03:28:00.000Z";2711
"2024-03-29T03:31:00.000Z";"2024-03-29T03:31:00.000Z";2729.5
"2024-03-29T03:34:00.000Z";"2024-03-29T03:34:00.000Z";2738.5
"2024-03-29T03:37:00.000Z";"2024-03-29T03:37:00.000Z";2739.5
"2024-03-29T03:40:00.000Z";"2024-03-29T03:40:00.000Z";2763.5
"2024-03-29T03:43:00.000Z";"2024-03-29T03:43:00.000Z";2783
"2024-03-29T03:46:00.000Z";"2024-03-29T03:46:00.000Z";2791.5
"2024-03-29T03:49:00.000Z";"2024-03-29T03:49:00.000Z";2804.5
"2024-03-29T03:52:00.000Z";"2024-03-29T03:52:00.000Z";2794.5
"2024-03-29T03:55:00.000Z";"2024-03-29T03:55:00.000Z";2806.5
"2024-03-29T03:58:00.000Z";"2024-03-29T03:58:00.000Z";2805.5
"2024-03-29T04:01:00.000Z";"2024-03-29T04:01:00.000Z";2818
"2024-03-29T04:04:00.000Z";"2024-03-29T04:04:00.000Z";2822
"2024-03-29T04:07:00.000Z";"2024-03-29T04:07:00.000Z";2811.5
"2024-03-29T04:10:00.000Z";"2024-03-29T04:10:00.000Z";2791
"2024-03-29T04:13:00.000Z";"2024-03-29T04:13:00.000Z";2773.5
"2024-03-29T04:16:00.000Z";"2024-03-29T04:16:00.000Z";2758.5
"2024-03-29T04:19:00.000Z";"2024-03-29T04:19:00.000Z";2756
"2024-03-29T04:22:00.000Z";"2024-03-29T04:22:00.000Z";2703
"2024-03-29T04:25:00.000Z";"2024-03-29T04:25:00.000Z";2711
"2024-03-29T04:28:00.000Z";"2024-03-29T04:28:00.000Z";2674.59999
"2024-03-29T04:31:00.000Z";"2024-03-29T04:31:00.000Z";2653
"2024-03-29T04:34:00.000Z";"2024-03-29T04:34:00.000Z";2638
"2024-03-29T04:37:00.000Z";"2024-03-29T04:37:00.000Z";2628
"2024-03-29T04:40:00.000Z";"2024-03-29T04:40:00.000Z";2634
"2024-03-29T04:43:00.000Z";"2024-03-29T04:43:00.000Z";2648.5
"2024-03-29T04:46:00.000Z";"2024-03-29T04:46:00.000Z";2634.5
"2024-03-29T04:49:00.000Z";"2024-03-29T04:49:00.000Z";2630.5
"2024-03-29T04:52:00.000Z";"2024-03-29T04:52:00.000Z";2654
"2024-03-29T04:55:00.000Z";"2024-03-29T04:55:00.000Z";2678
"2024-03-29T04:58:00.000Z";"2024-03-29T04:58:00.000Z";2712.5
"2024-03-29T05:01:00.000Z";"2024-03-29T05:01:00.000Z";2735.5
"2024-03-29T05:04:00.000Z";"2024-03-29T05:04:00.000Z";2743
"2024-03-29T05:07:00.000Z";"2024-03-29T05:07:00.000Z";2738.5
"2024-03-29T05:10:00.000Z";"2024-03-29T05:10:00.000Z";2736.5
"2024-03-29T05:13:00.000Z";"2024-03-29T05:13:00.000Z";2752.5
"2024-03-29T05:16:00.000Z";"2024-03-29T05:16:00.000Z";2751.5
"2024-03-29T05:19:00.000Z";"2024-03-29T05:19:00.000Z";2740.5
"2024-03-29T05:22:00.000Z";"2024-03-29T05:22:00.000Z";2744.5
"2024-03-29T05:25:00.000Z";"2024-03-29T05:25:00.000Z";2750
"2024-03-29T05:28:00.000Z";"2024-03-29T05:28:00.000Z";2756.5
"2024-03-29T05:31:00.000Z";"2024-03-29T05:31:00.000Z";2760
"2024-03-29T05:34:00.000Z";"2024-03-29T05:34:00.000Z";2751
"2024-03-29T05:37:00.000Z";"2024-03-29T05:37:00.000Z";2738
"2024-03-29T05:40:00.000Z";"2024-03-29T05:40:00.000Z";2752.5
"2024-03-29T05:43:00.000Z";"2024-03-29T05:43:00.000Z";2731
"2024-03-29T05:46:00.000Z";"2024-03-29T05:46:00.000Z";2706.5
"2024-03-29T05:49:00.000Z";"2024-03-29T05:49:00.000Z";2693
"2024-03-29T05:52:00.000Z";"2024-03-29T05:52:00.000Z";2681
"2024-03-29T05:55:00.000Z";"2024-03-29T05:55:00.000Z";2647.5
"2024-03-29T05:58:00.000Z";"2024-03-29T05:58:00.000Z";2620.5
"2024-03-29T06:01:00.000Z";"2024-03-29T06:01:00.000Z";2600
"2024-03-29T06:04:00.000Z";"2024-03-29T06:04:00.000Z";2575
"2024-03-29T06:07:00.000Z";"2024-03-29T06:07:00.000Z";2554.5
"2024-03-29T06:10:00.000Z";"2024-03-29T06:10:00.000Z";2532
"2024-03-29T06:13:00.000Z";"2024-03-29T06:13:00.000Z";2522
"2024-03-29T06:16:00.000Z";"2024-03-29T06:16:00.000Z";2507
