startTime;endTime;value;Total production capacity used in the wind power forecast;Rate of production
2025-03-29T0000;2025-03-29T0100;5312.415;8508.8;0.624343621
2025-03-29T0100;2025-03-29T0200;5201.2975;8508.8;0.611284494
2025-03-29T0200;2025-03-29T0300;5154.575;8508.8;0.605793414
2025-03-29T0300;2025-03-29T0400;5108.21;8508.8;0.600344349
2025-03-29T0400;2025-03-29T0500;5114.515;8508.8;0.601085347
2025-03-29T0500;2025-03-29T0600;4991.0125;8508.8;0.586570668
2025-03-29T0600;2025-03-29T0700;4986.9625;8508.8;0.58609469
2025-03-29T0700;2025-03-29T0800;4766.4775;8508.8;0.560182106
2025-03-29T0800;2025-03-29T0900;4665.9875;8508.8;0.54837198
2025-03-29T0900;2025-03-29T1000;4388.765;8508.8;0.515791298
2025-03-29T1000;2025-03-29T1100;4145.05;8508.8;0.487148599
2025-03-29T1100;2025-03-29T1200;4482.1875;8508.8;0.526770814
2025-03-29T1200;2025-03-29T1300;4405.57;8508.8;0.517766313
2025-03-29T1300;2025-03-29T1400;4874.84;8508.8;0.57291745
2025-03-29T1400;2025-03-29T1500;5061.245;8508.8;0.59482477
2025-03-29T1500;2025-03-29T1600;5001.11;8508.8;0.587757381
2025-03-29T1600;2025-03-29T1700;4908.6575;8508.8;0.576891865
2025-03-29T1700;2025-03-29T1800;5110.9825;8508.8;0.600670189
2025-03-29T1800;2025-03-29T1900;5127.26;8508.8;0.602583208
2025-03-29T1900;2025-03-29T2000;4750.8775;8508.8;0.55834871
2025-03-29T2000;2025-03-29T2100;4359.8975;8508.8;0.512398634
2025-03-29T2100;2025-03-29T2200;4162.715;8508.8;0.489224685
2025-03-29T2200;2025-03-29T2300;4013.6575;8508.8;0.471706645
2025-03-29T2300;2025-03-30T0000;3971.245;8508.9;0.466716614
