startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2023-03-29T00:00:00.000Z;2023-03-29T01:00:00.000Z;1067;5575;0.191390135
2023-03-29T01:00:00.000Z;2023-03-29T02:00:00.000Z;898;5575;0.161076233
2023-03-29T02:00:00.000Z;2023-03-29T03:00:00.000Z;854;5575;0.153183857
2023-03-29T03:00:00.000Z;2023-03-29T04:00:00.000Z;864;5575;0.154977578
2023-03-29T04:00:00.000Z;2023-03-29T05:00:00.000Z;894;5575;0.160358744
2023-03-29T05:00:00.000Z;2023-03-29T06:00:00.000Z;764;5575;0.137040359
2023-03-29T06:00:00.000Z;2023-03-29T07:00:00.000Z;553;5575;0.099192825
2023-03-29T07:00:00.000Z;2023-03-29T08:00:00.000Z;421;5575;0.075515695
2023-03-29T08:00:00.000Z;2023-03-29T09:00:00.000Z;442;5575;0.079282511
2023-03-29T09:00:00.000Z;2023-03-29T10:00:00.000Z;514;5575;0.092197309
2023-03-29T10:00:00.000Z;2023-03-29T11:00:00.000Z;616;5575;0.110493274
2023-03-29T11:00:00.000Z;2023-03-29T12:00:00.000Z;747;5575;0.133991031
2023-03-29T12:00:00.000Z;2023-03-29T13:00:00.000Z;874;5575;0.1567713
2023-03-29T13:00:00.000Z;2023-03-29T14:00:00.000Z;839;5575;0.150493274
2023-03-29T14:00:00.000Z;2023-03-29T15:00:00.000Z;799;5575;0.143318386
2023-03-29T15:00:00.000Z;2023-03-29T16:00:00.000Z;708;5575;0.126995516
2023-03-29T16:00:00.000Z;2023-03-29T17:00:00.000Z;676;5575;0.121255605
2023-03-29T17:00:00.000Z;2023-03-29T18:00:00.000Z;831;5575;0.149058296
2023-03-29T18:00:00.000Z;2023-03-29T19:00:00.000Z;990;5575;0.177578475
2023-03-29T19:00:00.000Z;2023-03-29T20:00:00.000Z;1180;5575;0.211659193
2023-03-29T20:00:00.000Z;2023-03-29T21:00:00.000Z;1475;5575;0.264573991
2023-03-29T21:00:00.000Z;2023-03-29T22:00:00.000Z;1428;5575;0.256143498
2023-03-29T22:00:00.000Z;2023-03-29T23:00:00.000Z;1211;5575;0.217219731
2023-03-29T23:00:00.000Z;2023-03-30T00:00:00.000Z;1016;5575;0.182242152
