startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2021-03-29T00:00:00.000Z;2021-03-29T01:00:00.000Z;1882;2442;0.770679771
2021-03-29T01:00:00.000Z;2021-03-29T02:00:00.000Z;1849;2442;0.757166257
2021-03-29T02:00:00.000Z;2021-03-29T03:00:00.000Z;1772;2442;0.725634726
2021-03-29T03:00:00.000Z;2021-03-29T04:00:00.000Z;1744;2442;0.714168714
2021-03-29T04:00:00.000Z;2021-03-29T05:00:00.000Z;1760;2442;0.720720721
2021-03-29T05:00:00.000Z;2021-03-29T06:00:00.000Z;1803;2442;0.738329238
2021-03-29T06:00:00.000Z;2021-03-29T07:00:00.000Z;1731;2442;0.708845209
2021-03-29T07:00:00.000Z;2021-03-29T08:00:00.000Z;1632;2442;0.668304668
2021-03-29T08:00:00.000Z;2021-03-29T09:00:00.000Z;1672;2442;0.684684685
2021-03-29T09:00:00.000Z;2021-03-29T10:00:00.000Z;1785;2442;0.730958231
2021-03-29T10:00:00.000Z;2021-03-29T11:00:00.000Z;1791;2442;0.733415233
2021-03-29T11:00:00.000Z;2021-03-29T12:00:00.000Z;1848;2442;0.756756757
2021-03-29T12:00:00.000Z;2021-03-29T13:00:00.000Z;1914;2442;0.783783784
2021-03-29T13:00:00.000Z;2021-03-29T14:00:00.000Z;2039;2442;0.834971335
2021-03-29T14:00:00.000Z;2021-03-29T15:00:00.000Z;2124;2442;0.86977887
2021-03-29T15:00:00.000Z;2021-03-29T16:00:00.000Z;2186;2442;0.895167895
2021-03-29T16:00:00.000Z;2021-03-29T17:00:00.000Z;2196;2442;0.899262899
2021-03-29T17:00:00.000Z;2021-03-29T18:00:00.000Z;2169;2442;0.888206388
2021-03-29T18:00:00.000Z;2021-03-29T19:00:00.000Z;2155;2442;0.882473382
2021-03-29T19:00:00.000Z;2021-03-29T20:00:00.000Z;2078;2442;0.850941851
2021-03-29T20:00:00.000Z;2021-03-29T21:00:00.000Z;1993;2442;0.816134316
2021-03-29T21:00:00.000Z;2021-03-29T22:00:00.000Z;1969;2442;0.806306306
2021-03-29T22:00:00.000Z;2021-03-29T23:00:00.000Z;1836;2442;0.751842752
2021-03-29T23:00:00.000Z;2021-03-30T00:00:00.000Z;1670;2442;0.683865684
