startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2015-03-29T00:00:00.000Z;2015-03-29T01:00:00.000Z;93;625;0.1488
2015-03-29T01:00:00.000Z;2015-03-29T02:00:00.000Z;99;625;0.1584
2015-03-29T02:00:00.000Z;2015-03-29T03:00:00.000Z;144;625;0.2304
2015-03-29T03:00:00.000Z;2015-03-29T04:00:00.000Z;148;625;0.2368
2015-03-29T04:00:00.000Z;2015-03-29T05:00:00.000Z;166;625;0.2656
2015-03-29T05:00:00.000Z;2015-03-29T06:00:00.000Z;189;625;0.3024
2015-03-29T06:00:00.000Z;2015-03-29T07:00:00.000Z;224;625;0.3584
2015-03-29T07:00:00.000Z;2015-03-29T08:00:00.000Z;238;625;0.3808
2015-03-29T08:00:00.000Z;2015-03-29T09:00:00.000Z;270;625;0.432
2015-03-29T09:00:00.000Z;2015-03-29T10:00:00.000Z;294;625;0.4704
2015-03-29T10:00:00.000Z;2015-03-29T11:00:00.000Z;298;625;0.4768
2015-03-29T11:00:00.000Z;2015-03-29T12:00:00.000Z;328;625;0.5248
2015-03-29T12:00:00.000Z;2015-03-29T13:00:00.000Z;356;625;0.5696
2015-03-29T13:00:00.000Z;2015-03-29T14:00:00.000Z;383;625;0.6128
2015-03-29T14:00:00.000Z;2015-03-29T15:00:00.000Z;378;625;0.6048
2015-03-29T15:00:00.000Z;2015-03-29T16:00:00.000Z;379;625;0.6064
2015-03-29T16:00:00.000Z;2015-03-29T17:00:00.000Z;396;625;0.6336
2015-03-29T17:00:00.000Z;2015-03-29T18:00:00.000Z;438;625;0.7008
2015-03-29T18:00:00.000Z;2015-03-29T19:00:00.000Z;460;625;0.736
2015-03-29T19:00:00.000Z;2015-03-29T20:00:00.000Z;467;625;0.7472
2015-03-29T20:00:00.000Z;2015-03-29T21:00:00.000Z;458;625;0.7328
2015-03-29T21:00:00.000Z;2015-03-29T22:00:00.000Z;454;625;0.7264
2015-03-29T22:00:00.000Z;2015-03-29T23:00:00.000Z;331;625;0.5296
2015-03-29T23:00:00.000Z;2015-03-30T00:00:00.000Z;407;625;0.6512
