startTime;endTime;Wind power generation - 15 min data;Total production capacity used in the wind power forecast;Rate of production
2019-03-29T00:00:00.000Z;2019-03-29T01:00:00.000Z;1682;2017;0.83391175
2019-03-29T01:00:00.000Z;2019-03-29T02:00:00.000Z;1687;2017;0.836390679
2019-03-29T02:00:00.000Z;2019-03-29T03:00:00.000Z;1698;2017;0.841844323
2019-03-29T03:00:00.000Z;2019-03-29T04:00:00.000Z;1627;2017;0.80664353
2019-03-29T04:00:00.000Z;2019-03-29T05:00:00.000Z;1591;2017;0.78879524
2019-03-29T05:00:00.000Z;2019-03-29T06:00:00.000Z;1611;2017;0.798710957
2019-03-29T06:00:00.000Z;2019-03-29T07:00:00.000Z;1571;2017;0.778879524
2019-03-29T07:00:00.000Z;2019-03-29T08:00:00.000Z;1512;2017;0.749628161
2019-03-29T08:00:00.000Z;2019-03-29T09:00:00.000Z;1522;2017;0.754586019
2019-03-29T09:00:00.000Z;2019-03-29T10:00:00.000Z;1549;2017;0.767972236
2019-03-29T10:00:00.000Z;2019-03-29T11:00:00.000Z;1498;2017;0.742687159
2019-03-29T11:00:00.000Z;2019-03-29T12:00:00.000Z;1534;2017;0.760535449
2019-03-29T12:00:00.000Z;2019-03-29T13:00:00.000Z;1598;2017;0.792265741
2019-03-29T13:00:00.000Z;2019-03-29T14:00:00.000Z;1624;2017;0.805156173
2019-03-29T14:00:00.000Z;2019-03-29T15:00:00.000Z;1545;2017;0.765989093
2019-03-29T15:00:00.000Z;2019-03-29T16:00:00.000Z;1423;2017;0.705503223
2019-03-29T16:00:00.000Z;2019-03-29T17:00:00.000Z;1344;2017;0.666336143
2019-03-29T17:00:00.000Z;2019-03-29T18:00:00.000Z;1367;2017;0.677739217
2019-03-29T18:00:00.000Z;2019-03-29T19:00:00.000Z;1375;2017;0.681705503
2019-03-29T19:00:00.000Z;2019-03-29T20:00:00.000Z;1378;2017;0.683192861
2019-03-29T20:00:00.000Z;2019-03-29T21:00:00.000Z;1376;2017;0.682201289
2019-03-29T21:00:00.000Z;2019-03-29T22:00:00.000Z;1288;2017;0.638572137
2019-03-29T22:00:00.000Z;2019-03-29T23:00:00.000Z;1291;2017;0.640059494
2019-03-29T23:00:00.000Z;2019-03-30T00:00:00.000Z;1310;2017;0.649479425
